Дата;Признак портфеля;Вид имущества;Номер и дата договора;Наименование фонда;Тип актива;Эмитент / Контрагент;ИНН Контрагента / Эмитента;Рег. номер;ISIN;Краткое наименование инструмента;Полное наименование инструмента;Номинал;Валюта;Количество (без учета РЕПО);Сумма без НКД;НКД, руб.;Сумма с НКД, руб.;Дата погашения депозита;Текущая процентная ставка по депозиту;Вид процентной ставки по депозиту;Лучший рейтинг инструмента;Рейтинговое агентство инструмента;Лучший рейтинг эмитента;Рейтинговое агентство эмитента;Метод учета
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;2 982,51;0;2 982,51;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;1 055,27;0;1 055,27;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Дебиторская задолженность по РЕПО;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;995 542 289,43;0;995 542 289,43;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;2 090,64;0;2 090,64;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;3 368,99;0;3 368,99;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Дебиторская задолженность по РЕПО;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;3 178 292 710,57;0;3 178 292 710,57;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;4 767,44;0;4 767,44;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;1 216,94;0;1 216,94;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Дебиторская задолженность по РЕПО;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;1 148 055 889,87;0;1 148 055 889,87;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26251RMFS;RU000A10CKT3;Минфин России 26251RMFS;Облигация Минфин России 26251RMFS;1 000;RUB;;2 066,5;0;2 066,5;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26252RMFS;RU000A10D4Y2;Минфин России 26252RMFS;Облигация Минфин России 26252RMFS;1 000;RUB;;1 068,05;0;1 068,05;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Дебиторская задолженность по РЕПО;Минфин России;7710168360;26252RMFS;RU000A10D4Y2;Минфин России 26252RMFS;Облигация Минфин России 26252RMFS;1 000;RUB;;1 007 588 281,73;0;1 007 588 281,73;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26252RMFS;RU000A10D4Y2;Минфин России 26252RMFS;Облигация Минфин России 26252RMFS;1 000;RUB;;1 813,66;0;1 813,66;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26252RMFS;RU000A10D4Y2;Минфин России 26252RMFS;Облигация Минфин России 26252RMFS;1 000;RUB;;4 176,88;0;4 176,88;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Дебиторская задолженность по РЕПО;Минфин России;7710168360;26252RMFS;RU000A10D4Y2;Минфин России 26252RMFS;Облигация Минфин России 26252RMFS;1 000;RUB;;3 940 453 576,62;0;3 940 453 576,62;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26252RMFS;RU000A10D4Y2;Минфин России 26252RMFS;Облигация Минфин России 26252RMFS;1 000;RUB;;5 910,68;0;5 910,68;28.04.2026 0:00:00;14,83;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26254RMFS;RU000A10D533;Минфин России 26254RMFS;Облигация Минфин России 26254RMFS;1 000;RUB;;79,21;0;79,21;28.04.2026 0:00:00;14,85;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Дебиторская задолженность по РЕПО;Минфин России;7710168360;26254RMFS;RU000A10D533;Минфин России 26254RMFS;Облигация Минфин России 26254RMFS;1 000;RUB;;74 719 591,06;0;74 719 591,06;28.04.2026 0:00:00;14,85;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;26254RMFS;RU000A10D533;Минфин России 26254RMFS;Облигация Минфин России 26254RMFS;1 000;RUB;;523,04;0;523,04;28.04.2026 0:00:00;14,85;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;52002RMFS;RU000A0ZYZ26;Минфин России 52002RMFS;Облигация Минфин России 52002RMFS;1 725,19;RUB;;1 609,82;0;1 609,82;28.04.2026 0:00:00;14,82;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Дебиторская задолженность по РЕПО;Минфин России;7710168360;52002RMFS;RU000A0ZYZ26;Минфин России 52002RMFS;Облигация Минфин России 52002RMFS;1 725,19;RUB;;1 518 692 760,56;0;1 518 692 760,56;28.04.2026 0:00:00;14,82;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Прочая дебиторская задолженность;Минфин России;7710168360;52002RMFS;RU000A0ZYZ26;Минфин России 52002RMFS;Облигация Минфин России 52002RMFS;1 725,19;RUB;;2 733,65;0;2 733,65;28.04.2026 0:00:00;14,82;С выплатой в конце срока;;;Снят;АКРА;не применимо
27.04.2026 0:00:00;Рыночный;ПН;050421-1/DU/PN от 05.04.2021;АО "НПФ "БУДУЩЕЕ";Депозиты;Филиал Банка ВТБ (ПАО) в г.Москве;7702070139;;;Филиал Банка ВТБ (ПАО) в г.Москве ;;244 790 000;RUB;;244 790 000;2 042 152,19;246 832 152,19;29.04.2026 0:00:00;14,5;С выплатой в конце срока;;;ruAAA;АКРА;не применимо
